Drug Class,Drug Name,General Classification
Lincosamide Antibacterial,1,Antibiotic
Loop Diuretic,1,Heart Health/Kidney Health
Macrolide Antimicrobial,1,Antibiotic
Mood Stabilizer,2,Antidepressant/Mental Health
Muscle Relaxant,2,Muscle Health
N-methyl-D-aspartate Receptor Antagonist,1,Memory
Neuraminidase Inhibitor,1,Antiviral
Nitrate Vasodilator,2,Heart Health
Nitrofuran Antibacterial,1,Antibiotic
Non-narcotic Antitussive,1,Antibiotic/Antiviral
Nonergot Dopamine Agonist,2,Nerve Health
Nonsteroidal Anti-inflammatory Drug,5,Anti-Inflammatory
"Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor",1,Anti-Inflammatory
Omega-3 Fatty Acid,1,Heart Health
Opioid Agonist,6,Opiods
P2Y12 Platelet Inhibitor,1,Blood Thinner
Partial Opioid Agonist,1,Opiods
Penicillin-class Antibacterial,1,Antibiotic
"Penicillin-class Antibacterial, beta Lactamase Inhibitor",1,Antibiotic
Peroxisome Proliferator Receptor alpha Agonist,2,Diabetes/Blood sugar
"Peroxisome Proliferator Receptor alpha Agonist, Peroxisome Proliferator Receptor gamma Agonist, Thiazolidinedione",1,Diabetes/Blood sugar
Phosphodiesterase 5 Inhibitor,1,Erectile Disfuntion
Potassium Salt,1,Electrolyte
Progesterone,1,Sex Hormone
Progestin,1,Sex Hormone
"Progestin, Progestin-containing Intrauterine Device, Estrogen",1,Sex Hormone
Prostaglandin Analog,2,Eye Health
Proton Pump Inhibitor,4,Stomach Health
Provitamin D2 Compound,1,Vitamin/Liver Health
Quinolone Antimicrobial,1,Antibiotic
Serotonin Reuptake Inhibitor,6,Antidepressant/Mental Health
Serotonin and Norepinephrine Reuptake Inhibitor,3,Antidepressant/Mental Health
Serotonin-1b and Serotonin-1d Receptor Agonist,2,Migraine
Serotonin-3 Receptor Antagonist,1,Nausea
Sodium-Glucose Cotransporter 2 Inhibitor,1,Diabetes/Blood sugar
"Sulfonamide Antimicrobial, Dihydrofolate Reductase Inhibitor Antibacterial",1,Antibiotic
Sulfonylurea,3,Diabetes/Blood sugar
Sympathomimetic Amine Anorectic,1,Weight Loss
Tetracycline-class Drug,1,Antibiotic
Thiazide Diuretic,1,Heart Health
"Thiazide Diuretic, Angiotensin Converting Enzyme Inhibitor",1,Heart Health
"Thiazide Diuretic, Potassium-sparing Diuretic",1,Heart Health/Kidney Health
Thiazide-like Diuretic,1,heart Health
Tricyclic Antidepressant,2,Antidepressant/Mental Health
Vitamin B12,1,Vitamin/Liver Health
Vitamin K Antagonist,1,Heart Health
Xanthine Oxidase Inhibitor,1,Lung Health
alpha-Adrenergic Agonist,1,Heart Health
alpha-Adrenergic Blocker,2,Heart Health
"alpha-Adrenergic Blocker, beta-Adrenergic Blocker",1,Heart Health
beta-Adrenergic Blocker,4,Heart Health
beta2-Adrenergic Agonist,1,Lung Health
"beta2-Adrenergic Agonist, Anticholinergic",1,Lung Health
beta3-Adrenergic Agonist,1,Muscle Health/Bladder/Excretory
gamma-Aminobutyric Acid-ergic Agonist,2,Sedative
l-Thyroxine,1,Cancer/Anti-Inflammatory
